EVENT_ID,STATE_FIPS,CZ_FIPS,WFO,CZ_TIMEZONE,BEGIN_TIMESTAMP,END_TIMESTAMP,DEATHS,INJURIES,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_FIPS,TOR_OTHER_WFO,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,TORNADO_ID
1147213,45,63,CAE,EST-5,1704809400,1704809760,0,1,0,0,EF1,3.27,150.0,,,4.0,SSW,SYRUP,1.0,SSE,SYRUP,34.0518,-81.3548,34.0923,-81.3252,"A National Weather Service storm survey team confirmed an EF-1, with peak winds of|90 mph, that crossed Lake Murray Tuesday afternoon. The tornado developed over|Shull Island and moved northeast across Lake Murray. The tornado then came ashore|at Indian Summer Point. The tornado damaged some tree tops at Shull Island before|moving quickly north-northeast, snapping and uprooting multiple trees along Westridge |Court up to Mallard Drive. The tornado then dissipated before reaching the intersection|of Johns Creek Road and Mallard Drive.||The most significant damage occurred in the Westridge Court area off of Wessinger|Road. The tornado uprooted a large pine tree that fell onto the roof of a home, injuring|one elderly person. This person was transported with minor injuries to the hospital|and later released. There were several large Cedar trees that were uprooted or|snapped in this area as well. Minor damage also occurred to a small barn with the roof|partially uplifted. Just before the tornado dissipated, it uprooted a large tree along|Mallard Drive.",0
1147216,45,9,CAE,EST-5,1704811560,1704811680,0,0,1800000,0,EF2,2.14,500.0,,,2.0,SSW,BAMBERG,0.0,NW,BAMBERG,33.2729,-81.0435,33.3027,-81.0331,"A National Weather storm survey team confirmed an EF2 tornado, with peak winds of|125 mph, in Bamberg SC. The tornado began 1.75 miles south of the City of Bamberg|along US Hwy 601, near Cry Baby Road.||Moving north, the tornado then proceeded to flip a mobile home and cause substantial|EF2 damage to a barrel plant at the intersection of US Hwy 601 and US Hwy 301. Door|and window failure contributed to the collapse of the middle section of the building|and partial collapse of the front section. The collapsed portions of the building were|tossed across Chevrolet St into a water tower.||The tornado continued north-northeast along US-301 causing widespread EF1 roof and|tree damage before moving into downtown Bamberg.||As the tornado entered downtown Bamberg, it strengthened to EF2 intensity and|caused substantial structural damage to a series of 2-3 story historic buildings just|south of the intersection of US Hwy 78 and US Hwy 301. The newer roof section of a|building on the west side of US Hwy 301 was thrown completely off onto the adjacent|structure. There was a complete collapse of the upper stories of two buildings on the|east side of US Hwy 301 with the corner torn off another. Preexisting missing portions|of the roof and gaps in the exterior wall of the former City Hall likely contributed to its|collapse due to wind intrusion. ||The tornado then moved north and quickly weakened as it crossed US Hwy 78 before|dissipating 0.4 miles north of downtown Bamberg along US Hwy 301.||The National Weather Service would like to thank wind engineers from the Insurance|Institute for Business and Home Safety for their expertise assisting with surveying|some of the structural damage.",0
1149117,12,11,MFL,EST-5,1704563220,1704563400,0,0,150000,0,EF0,1.56,100.0,,,1.0,N,PORT EVERGLADES,2.0,ESE,FT LAUDERDALE,26.1076,-80.1297,26.1199,-80.1086,"A tornado affected the downtown Fort Lauderdale area on the evening of January 6th. First visible signs of damage were along SE 12TH ST where large branches were down in front of a home. The tornado then traveled 1.5 miles northeast through portions of Rio Vista Isles, across the New River, and then across several streets just south of Sunset Lake before lifting in the vicinity of East Las Olas Blvd per video evidence. Most of the damage observed along the path was minor tree, roof, and power line damage. Therefore, the tornado is rated as an EF-0 with estimated maximum winds near 80 mph, however, most of the damage was likely in the 60-70 mph range. Damage amounts are estimated.",0
1149494,45,81,CAE,EST-5,1706386680,1706386920,0,0,0,0,EF1,1.62,150.0,,,2.0,N,MERCHANT,3.0,S,PERRYS XRDS,34.06,-81.67,34.0821,-81.6607,"A National Weather Service storm survey team confirmed a brief EF-1 tornado, with|peak winds of 100 mph, Saturday evening in Northern Saluda County. The tornado|begin point and time was later adjusted slightly after new Sentinel satellite data|indicated the tornado touched down about 0.75 miles before the previously observed|damage. NDVI difference data & higher resolution visible imagery show an area of|trees down near the initial part of this track. The tornado then continued tracking to the |NE to near the intersection of Hunters Lane and Blue Spring Road producing|minor damage to two houses in addition to a large number of trees further down|Hunters Lane on both sides of the road where EF-1 damage was observed. The tornado|then moved northeast into an inaccessible wooded area behind homes on Blue Spring|Rd. The tornado turned slightly left crossing Blue Spring Rd in a NNE direction|producing EF-1 damage to another wooded area before dissipating in an open field|while approaching Hollywood Rd. The survey team estimated several hundred trees|were damaged along the path. Many of the trees were uprooted along with a few|trunks snapped. The damage to homes was mainly to the fascia board and missing|shingles.",0
1149609,45,79,CAE,EST-5,1706370480,1706370600,0,0,0,0,EF1,0.89,90.0,,,2.0,NNW,PONTIAC,3.0,N,PONTIAC,34.1614,-80.859,34.169,-80.8464,"A National Weather Service storm survey team confirmed a brief EF-1 tornado, with|peak winds of 90 mph, in northeast Richland County near Pontiac. The tornado began|in a wooded area southwest of Kelly Mill Road and to the east of Bridge Creek where it|snapped and uprooted numerous softwood trees. It also snapped off the top of a power |pole and peeled back a portion of the tin roof of a shed. The tornado then crossed Kelly|Mill Road and continued northeast where it snapped and uprooted additional trees near|a home and then the tornado continued into an inaccessible wooded area. The last|visible damage appears to be a snapped tree at the end of Mazola Court.  The tornado|likely lifted before crossing Cherokee Blvd in Kershaw County.",0
1149963,12,57,TBW,EST-5,1704816000,1704816120,0,0,250000,0,EF1,0.58,75.0,,,4.0,WSW,COSME,4.0,WSW,COSME,28.1061,-82.6458,28.109,-82.6369,"A EF-1 tornado with maximum estimated winds of 90 mph tracked across The Eagles Golf Club northwest of Westchase, from just west of Birkdale Drive, across Nine Eagles Drive, Byrnwyck Lane and Benty Way, before lifting just west of Eagle Oak Drive. The most notable structural damage observed was the detachment/collapse of several pool cages backing up to the golf course. Additional roof and tree damage was noted, however, this appeared to be associated with inflow and/or an eventual microburst with a uniform direction to the damage. Along the path, there were a couple pockets of EF-1 damage. However, most of the surveyed damage was EF-0.",0
1149965,12,103,TBW,EST-5,1704817380,1704817440,0,0,10000,0,EF0,0.01,10.0,,,1.0,SW,SAINT PETERSBURG PORTS SITE,1.0,SW,SAINT PETERSBURG PORTS SITE,27.7528,-82.6401,27.7528,-82.64,"A very brief EF-0 tornado with maximum estimated winds of around 80 mph produced minor roof damage to a structure in Saint Petersburg just north of 18th Avenue between 5th and 6th Street. Just west of the building were parked cars, trees, and a telephone pole with no damage. However, roof covering material was found deposited in this area. No other visible damage could be found in the vicinity.",0
1150249,1,69,TAE,CST-6,1704779580,1704779700,0,0,100000,0,EF1,1.2,225.0,,,1.0,ENE,MEMPHIS,1.0,SSW,WILSON MILL,31.135,-85.3554,31.1485,-85.3427,"A tornado touched down near Sowell Road west of Willie Varnum Road, causing damage to trees and a farm building. The tornado continue northeast, crossing Willie Varnum Road, causing significant tree damage, supportive of an EF-1 rating with max winds estimated near 90 mph. The tornado also damaged the roofs of several homes along Willie Varnum Road before dissipating before reaching Cottonwood Road. Thanks to Houston County, Alabama Emergency Management for assistance with this survey.",0
1150250,12,131,TAE,CST-6,1704774540,1704775140,0,0,100000,0,EF1,10.93,220.0,,,2.0,SSW,SANTA ROSA BEACH,1.0,S,FREEPORT,30.346,-86.2317,30.4761,-86.1273,The tornado initially moved onshore with damage to trees and buildings at the intersection of W County Highway 30A and Laura Hamilton Blvd consistent with an EF-1 rating. It would then proceed to continue moving off to the northeast sporadically damaging trees and roofs of houses across the area. The tornado would then cross through a majority wooded area before crossing US Highway 98 before entering the woods once again. A high concentration of damage to homes and trees consistent with an EF-1 rating was found off of Chat Holly Rd. before the tornado crossed Choctawhatchee Bay. Max winds were estimated near 110 mph. The tornado would then parallel US Highway 331 as it crossed the bay before making landfall once again at Bay Grove Rd. where numerous manufactured homes were damaged along with tree damage consistent with an EF-1 rating. EF-1 damage had been observed leading up to US 331 where the tornado appears to have dissipated. Thanks to Walton County Emergency Management for assistance with this damage survey.,0
1150253,12,131,TAE,CST-6,1704775680,1704776100,0,0,50000,0,EF1,5.42,160.0,,,4.0,SSE,EUCHEEANNA,2.0,WSW,DOUGLAS CROSSROADS,30.5872,-86.0243,30.663,-86.001,"A tornado, associated with the same cell which produced a tornado in southern Walton County, touched down south of Rock Hill Road. A large concentration of tree damage and damage to a manufactured home were then observed off Rock Hill Rd. consistent with an EF-1 rating with max winds estimated at 95 mph. The tornado continued north and dissipated in a wooded area. Additional tree damage just to the east of the track along Rock Hill road may have been associated with very strong rear flank downdraft winds associated with this cell. Thanks to Walton County Emergency Management for assistance with this damage survey.",0
